capture_utc,http_status,bytes,sha256,consolidation_utc,last_modified,etag,elapsed_s,archived_path,erreur
2026-09-18T17:10:00.005109+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T17:15:00.002849+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T17:20:00.001721+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T17:25:00.001915+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T17:30:00.000902+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T17:35:00.001076+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T17:40:00.008333+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T17:45:00.006191+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T17:50:00.004882+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T17:55:00.007977+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:00:00.007021+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:05:00.004806+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:10:00.003471+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:15:00.001211+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:20:00.007491+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:25:00.007660+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:30:00.003039+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:35:00.008890+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:40:00.006774+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:45:00.007468+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:50:00.007369+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T18:55:00.007534+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:00:00.008481+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:05:00.001782+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:10:00.008104+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:15:00.008079+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:20:00.007005+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:25:00.002280+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:30:00.002254+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:35:00.000513+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:40:00.007317+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:45:00.007579+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:50:00.009117+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T19:55:00.007043+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:00:00.007688+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:05:00.008476+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:10:00.009117+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:15:00.002756+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:20:00.003727+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:25:00.004771+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:30:00.000917+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:35:00.003941+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:40:00.004719+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:45:00.003409+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:49:59.999324+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T20:55:00.005549+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T21:00:00.006431+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T21:05:00.001083+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T21:10:00.003926+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T21:14:59.999762+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T21:20:00.005787+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T21:25:00.000551+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T21:30:00.004477+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T21:35:00.008331+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T21:40:00.006412+00:00,,,,,,,0.01,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T21:45:00.007986+00:00,,,,,,,0.00,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
2026-09-18T21:50:00.072593+00:00,200,8942548,224c334e04e0c0f5a18b586d60ffb318460737a82b2fafd5206a16feaf7bdad6,2026-09-18T21:50:00.446044Z,,,0.88,data/raw/dynamique/2026-09-18/215000.csv.gz,
2026-09-18T21:55:00.002327+00:00,200,8942409,27dfc08f34e39016103de5c8189e39e6d7e585ea0dcfd1f4fa0e447513895e93,2026-09-18T21:55:00.355726Z,,,0.61,data/raw/dynamique/2026-09-18/215500.csv.gz,
2026-09-18T22:00:00.002168+00:00,200,8942481,5db1dfe7d626e01e7df27f6fed0f5b184c1dfcdc431720c31f64c6e3001eeeb7,2026-09-18T22:00:00.486846Z,,,0.74,data/raw/dynamique/2026-09-18/220000.csv.gz,
