departement,pdc,frais,hors_service,muet,inconnu,taux_hors_service
01,1247,110,9,739,0,0.08181818181818182
02,964,83,6,596,0,0.07228915662650602
03,893,89,8,541,0,0.0898876404494382
04,553,72,1,382,0,0.013888888888888888
05,615,54,6,395,0,0.1111111111111111
06,3936,186,12,1035,2,0.06451612903225806
07,606,51,8,458,4,0.1568627450980392
08,818,30,3,572,0,0.1
09,336,15,1,217,0,
10,1078,76,4,888,0,0.05263157894736842
11,1453,153,6,1009,2,0.0392156862745098
12,702,28,1,163,0,
13,4938,574,28,2037,2,0.04878048780487805
14,3055,212,15,2155,2,0.07075471698113207
15,332,9,0,195,0,
16,982,55,2,603,2,0.03636363636363636
17,1589,144,10,1150,2,0.06944444444444445
18,788,88,6,565,0,0.06818181818181818
19,669,87,1,467,6,0.011494252873563218
21,1710,218,16,899,0,0.07339449541284404
22,1424,59,7,653,0,0.11864406779661017
23,329,18,4,174,3,
24,977,89,5,672,2,0.056179775280898875
25,1005,98,4,665,0,0.04081632653061224
26,1655,272,5,1087,0,0.01838235294117647
27,1528,99,7,836,0,0.0707070707070707
28,1055,106,4,664,0,0.03773584905660377
29,1655,79,12,747,0,0.1518987341772152
2A,544,21,0,201,0,
2B,438,9,0,197,0,
30,1809,204,4,1057,0,0.0196078431372549
31,3756,369,46,1597,4,0.12466124661246612
32,336,20,5,234,0,
33,6120,383,28,3421,6,0.0731070496083551
34,3291,371,12,1755,0,0.03234501347708895
35,2168,189,15,1184,2,0.07936507936507936
36,578,32,4,278,0,0.125
37,1588,142,8,1074,1,0.056338028169014086
38,2769,282,11,1534,2,0.03900709219858156
39,433,34,3,240,0,0.08823529411764706
40,1436,99,8,1048,2,0.08080808080808081
41,1308,104,8,688,0,0.07692307692307693
42,1665,189,10,1129,0,0.05291005291005291
43,373,50,3,282,0,0.06
44,3146,232,18,1390,6,0.07758620689655173
45,1373,125,5,792,0,0.04
46,488,20,0,392,0,
47,854,65,5,567,0,0.07692307692307693
48,210,8,0,74,0,
49,1718,74,5,634,1,0.06756756756756757
50,1642,120,19,860,0,0.15833333333333333
51,1572,165,8,1051,0,0.048484848484848485
52,514,79,6,329,0,0.0759493670886076
53,535,28,0,261,0,
54,1890,137,16,1219,1,0.11678832116788321
55,389,34,2,287,0,0.058823529411764705
56,1599,92,8,1186,0,0.08695652173913043
57,3651,250,15,2232,2,0.06
58,466,37,6,318,3,0.16216216216216217
59,6410,498,17,2553,0,0.03413654618473896
60,1810,128,8,892,0,0.0625
61,354,19,1,243,0,
62,3259,203,13,1625,3,0.06403940886699508
63,1526,121,7,949,0,0.05785123966942149
64,1855,142,8,1029,4,0.056338028169014086
65,641,25,2,502,0,
66,1388,93,6,1042,0,0.06451612903225806
67,2718,250,17,1454,0,0.068
68,1712,124,3,950,0,0.024193548387096774
69,4634,350,11,2020,1,0.03142857142857143
70,315,18,2,231,0,
71,1555,129,3,945,2,0.023255813953488372
72,982,121,1,624,0,0.008264462809917356
73,1908,150,5,1093,2,0.03333333333333333
74,2418,357,13,1403,5,0.036414565826330535
75,7969,1131,9,2167,0,0.007957559681697613
76,3030,180,15,1451,6,0.08333333333333333
77,4155,657,10,2407,4,0.015220700152207
78,3419,483,6,1364,2,0.012422360248447204
79,1394,52,7,993,0,0.1346153846153846
80,1409,133,9,1015,0,0.06766917293233082
81,1519,28,6,195,0,
82,757,54,7,553,0,0.12962962962962962
83,2735,370,13,1304,2,0.03513513513513514
84,1727,183,19,814,0,0.10382513661202186
85,1385,74,16,640,3,0.21621621621621623
86,2686,78,4,1328,0,0.05128205128205128
87,908,63,1,505,4,0.015873015873015872
88,1077,78,10,740,0,0.1282051282051282
89,1081,131,7,716,3,0.05343511450381679
90,324,26,3,164,0,
91,2753,315,17,1043,1,0.05396825396825397
92,3535,235,2,783,1,0.00851063829787234
93,1994,252,8,960,0,0.031746031746031744
94,2657,274,11,939,0,0.040145985401459854
95,2177,294,4,757,0,0.013605442176870748
971,109,0,0,23,0,
972,34,0,0,34,0,
973,2,0,0,2,0,
974,424,0,0,411,0,
,378,5,2,69,0,
