reseau,pdc,stations,frais,hors_service,avec_prix,puissance_mediane_kw,part_paiement_cb,part_gratuit
Bouygues Energies & Services,13428,5209,1801,0,200,22.08,0.005510872803098004,0.0
IZIVIA,10289,2745,2190,0,0,22.0,0.0,0.0
Freshmile | FR*FR1,9459,3181,0,0,1,22.0,0.06015435035416006,0.0
Power Dot France,7662,1175,4289,88,0,100.0,0.0,0.0
GROUPE INDIGO,7649,329,0,0,0,7.4,0.0,0.0
TotalEnergies Marketing France,6882,828,3435,0,40,7.36,0.008137169427492008,0.004940424295263005
Lidl France,5866,1073,3565,141,739,22.0,0.011421752471871804,0.0
EASYCHARGE,5421,2075,3818,135,5276,22.0,0.9928057553956835,0.0
Allego,5303,625,997,14,2217,150.0,0.9430511031491609,0.0
Tesla,4937,287,4170,0,0,250.0,0.03362365809195868,0.0
Izivia,4466,4402,0,0,0,7.4,0.0,0.0
ENGIE Vianeo,4219,633,1969,167,0,22.0,0.9831713676226594,0.0
TotalEnergies Charging Services,3875,509,683,0,0,7.0,0.016774193548387096,0.0005161290322580645
QOVOLTIS,3794,887,0,0,0,22.0,0.6837111228255139,0.0
Citeos Mobilité Electrique Paris - Cogelum IDF,3753,1672,2319,80,3736,22.0,0.9976019184652278,0.0
DRIVECO Partner Network,3595,776,0,0,0,22.08,0.0005563282336578582,0.03949930458970793
E.Leclerc | FR*LE2,3371,418,0,0,3,22.0,0.08929101156926728,0.0
E-Totem,3180,635,991,0,0,22.0,0.8877358490566037,0.0006289308176100629
Electra,3100,525,2507,28,0,300.0,1.0,0.0
ALDI SARL,3068,818,0,0,0,22.0,0.0,0.0
SPIE CityNetworks,2146,468,1059,22,0,22.0,0.8196644920782852,0.0
Bump,2055,218,462,4,0,22.0,0.23454987834549879,0.0
DRIVECO,1965,464,1736,11,18,50.0,0.002035623409669211,0.002035623409669211
ELECTRIC 55 CHARGING,1921,623,0,0,0,22.08,0.0,0.0
Ionity,1850,180,1684,34,0,350.0,1.0,0.0
WAAT SAS | FR*WA2,1759,471,133,5,0,22.0,0.0,0.0
EVzen,1730,464,866,4,0,120.0,0.0676300578034682,0.0
Modulo,1621,1621,704,6,0,0.0,0.0,0.0
Atlante France,1574,185,1016,26,0,150.0,0.0,0.0
Load Stations,1447,689,412,4,0,22.0,0.0,0.0
Road | FR*EFL,1375,274,16,0,0,22.0,0.0,0.0
REVEO SYADEN | FR*RVE,1341,520,0,0,0,22.0,0.0,0.0
STATIONS-E,1160,566,452,9,0,22.0,0.9379310344827586,0.0
ChargePoint Austria GmbH | FR*CG0,1137,517,410,82,0,22.0,0.8803869832893579,0.0
SOREGIES MOBILITES,1131,822,67,3,229,22.0,0.27851458885941643,0.0
BOUYGUES ENERGIES SERVICES,1081,861,0,0,0,24.0,0.6151711378353376,0.0
YES55 | FR*Y55,1079,395,0,0,0,22.0,0.0,0.0
Soregies,1078,348,0,0,0,22.08,0.0,0.0
Greenspot,947,286,0,0,57,22.08,0.004223864836325237,0.04963041182682154
Interparking France,944,39,181,0,0,22.0,0.10063559322033898,0.0
Virta,940,927,274,8,0,0.0,0.9627659574468085,0.00851063829787234
Ze-Watt,880,661,0,0,0,22.0,1.0,0.0
Sowatt Solutions,874,213,276,0,35,22.08,0.2151029748283753,0.003432494279176201
RossiniEnergy,871,305,0,0,0,22.0,0.9265212399540758,0.011481056257175661
R3,817,162,608,16,37,150.0,0.04039167686658507,0.0
Enerstock | FR*ENT,800,104,0,0,0,22.0,0.0,0.0
Evzen,793,349,0,0,0,22.0,0.0,0.0
SEOLIS,714,211,0,0,0,22.08,0.0,0.0
bp Pulse,668,28,579,6,0,100.0,0.0,0.0
Morbihan énergies | FR*S56,658,289,0,0,0,18.0,0.9300911854103343,0.0
NW IECharge,645,314,238,0,0,320.0,0.0,0.0
Yusco | FR*USC,637,57,0,0,0,22.0,0.9748822605965463,0.0
Plenitude On The Road,622,98,238,0,0,150.0,0.008038585209003215,0.0
DREAM ENERGY,620,110,174,0,0,160.0,1.0,0.0
e-charge50,589,255,208,3,0,22.0,0.030560271646859084,0.0
Qwello GmbH | FR*QWC,560,376,0,0,0,22.0,1.0,0.0
Mobilize Power Solutions,508,393,0,0,438,22.0,0.0531496062992126,0.021653543307086614
Fastned France,505,66,453,4,0,300.0,1.0,0.0
Syndicat Départemental Énergie Aube (SDEA) | FR*S10,497,234,0,0,0,18.0,0.0,0.0
EVzen (SMEG Développement),488,232,0,0,0,22.0,1.0,0.0
NEXTENEO,460,84,0,0,0,22.0,0.0,0.0
Fédération Départementale d'Énergie de la Somme (FDE80) | FR*S80,444,200,0,0,0,22.0,1.0,0.0
Plug Inn fast charge,442,85,333,0,0,320.0,0.6312217194570136,0.0
ZEENCO e-mobility,432,145,0,0,0,22.08,0.0,0.05092592592592592
Ubitricity,406,150,106,1,0,22.0,0.9507389162561576,0.0
Eiffage Energie Systèmes | FR*WGO,394,89,1,0,68,22.0,0.0,0.0
Zephyre SAS,370,369,0,0,192,22.0,0.5351351351351351,0.0
SGA Industries,347,118,0,0,0,22.0,0.1844380403458213,0.005763688760806916
FRS91,345,166,0,0,345,22.0,1.0,0.0
Zunder | ES*ZUN,320,29,0,0,0,400.0,0.84375,0.0
e-totem,319,34,0,0,0,7.0,1.0,0.0
Delmonicos,294,79,0,0,0,22.0,0.0,0.0
Zunder,272,23,169,0,0,400.0,0.0,0.0
OZECAR,269,269,0,0,0,22.0,1.0,0.0
SIEGE 27,267,134,0,0,0,22.0,1.0,0.0
Shell Recharge,265,32,206,2,0,150.0,1.0,0.0
SEVDEC,252,121,0,0,0,22.0,0.3134920634920635,0.0
ZEBORNE,249,249,0,0,15,22.0,0.0,0.18072289156626506
ChargeFacile | FR*LUM,242,119,0,0,0,22.0,0.2024793388429752,0.0
Picoty | FR*PY2,237,41,0,0,0,125.0,0.6075949367088608,0.0
Eoliberty,235,204,25,0,0,22.0,0.9914893617021276,0.0
GEEVE,233,45,100,1,0,47.0,0.3562231759656652,0.0
Syndicat Départemental d'Énergie De la Haute-Garonne (SDEHG) | FR*S31,222,108,0,0,6,18.0,0.972972972972973,0.0
Séolis,218,112,0,0,0,18.0,0.03669724770642202,0.045871559633027525
Syndicat Départemental d'Énergie de Tarn-et-Garonne (SDE82) | FR*S82,216,108,0,0,0,22.0,0.0,0.0
W:I (Comelec) | FR*WII,199,78,0,0,0,22.0,0.0,0.0
Raw Charging,193,106,43,0,26,22.0,0.9896373056994818,0.0
PARERA MOBILITE | FR*MW1,192,60,190,30,0,22.0,0.0,0.0
Eranovum e-Mobility France SAS,182,34,86,1,0,120.0,0.0,0.0
Evota Netherlands B.V. | FR*AUT,177,62,0,0,0,22.0,0.0,0.0
C4Energies,172,3,0,0,0,22.0,0.9825581395348837,0.0
Borneco | FR*BHM,171,77,0,0,3,22.0,0.09941520467836257,0.0
G-MOB,164,73,0,0,0,22.0,0.0,0.0
sas e-motum,146,65,0,0,110,150.0,0.7534246575342466,0.0
Porsche Sales & Marketplace,144,144,46,3,0,0.0,0.18055555555555555,0.0
Charge Unix | FR*0CU,135,32,0,0,0,22.0,0.0,0.0
ZEborne,128,128,0,0,2,22.0,0.0078125,0.09375
Fuzed | FR*FZD,123,51,0,0,0,22.0,1.0,0.0
IONITY,120,120,0,0,120,350.0,0.0,0.0
QoWatt,115,25,0,0,88,22.0,1.0,0.0
Syndicat Départemental d'Énergies du Gers (SDEG) | FR*S32,111,56,0,0,0,22.0,0.0,0.0
OBORNES,110,12,46,0,0,400.0,0.07272727272727272,0.0
Aéroports de la Côte d'Azur | FR*ACA,107,4,0,0,0,22.0,0.0,0.0
Milence,105,34,22,6,23,400.0,1.0,0.0
DEJA BLUE FRANCE,92,14,0,0,92,22.0,1.0,0.0
Sorel energies,91,11,29,0,0,60.0,1.0,0.0
Syndicat d'Energie et des Déchets de la Marne (SDED52) | FR*S52,90,43,0,0,0,22.0,1.0,0.0
Z-E-N,89,20,37,0,61,200.0,0.06741573033707865,0.0898876404494382
MOBIVE_CITEOS,86,44,0,0,0,22.0,0.23255813953488372,0.0
FAROAD,84,22,14,0,0,22.08,0.0,0.0
Properphi,78,12,0,0,0,22.0,1.0,0.0
SPIE CITYNETWORKS,74,37,0,0,0,22.0,1.0,0.0
ELECTROMAPS,67,33,0,0,4,22.0,0.14925373134328357,0.07462686567164178
Orléans Métropole | FR*M45,66,31,0,0,0,22.0,0.0,0.0
AUTORECHARGE SAS,66,19,5,0,7,240.0,0.0,0.696969696969697
Altensys | FR*ALS,65,8,0,0,0,22.0,0.0,0.0
Yaway,61,8,0,0,0,360.0,0.0,0.0
LANGON DISTRIBUTION,60,19,0,0,39,22.0,0.0,0.5666666666666667
Freshmile | FR*CN1,55,27,0,0,0,44.0,1.0,0.0
EV MAP SAS,51,51,0,0,50,44.0,0.0,0.0
LOAD STATIONS | FR*SEA,50,23,0,0,0,22.0,0.0,0.0
Idex,43,3,0,0,0,22.08,0.0,0.0
WattzHub | FR*SMI,41,10,0,0,0,22.0,0.0,0.0
SOLVEO ENERGIES,36,29,0,0,31,22.0,0.2777777777777778,0.0
SAP Labs France SAS | FR*SLF,32,3,0,0,0,22.0,0.0,0.0
PARERA MOBILITE | FR*VIS,32,12,32,1,0,22.0,0.09375,0.0
Jerecharge.com,30,6,0,0,30,22.0,1.0,0.0
Ecophi mobility,30,3,0,0,0,7.0,0.1,0.0
RAIDEN,29,4,0,0,0,36.0,0.10344827586206896,0.0
CAR2PLUG,26,15,0,0,26,22.08,1.0,0.0
Electricité Veit | FR*HOP,22,7,0,0,0,22.0,0.0,0.0
Paragon Mobility,22,6,4,0,4,22.0,0.7727272727272727,0.0
Acelec Charge,20,3,0,0,18,22.0,1.0,0.0
Ramery Mobility | FR*RYM,20,4,0,0,0,22.0,0.0,0.0
CHARGEPOLY,18,2,13,1,5,75.0,0.2777777777777778,0.0
Electro Mobility Solutions,14,5,0,0,0,22.08,0.0,0.0
ENERJUMP,12,5,0,0,8,400.0,0.0,0.0
FRCTS,10,1,0,0,10,22.0,0.8,0.0
Electromaps,10,10,0,0,1,22.0,0.2,0.5
ECOPI,9,9,2,0,0,30.0,1.0,0.0
Beltoise Evolution,9,9,0,0,0,43.0,0.0,0.0
Mob-Energy | FR*MEI,9,1,0,0,0,7.4,0.0,0.0
ZETRA Distribution SAS,8,1,0,0,4,225.0,0.5,0.0
total énergie,6,5,0,0,1,16.5,0.3333333333333333,0.5
LODMI,6,6,0,0,2,44.0,0.16666666666666666,0.0
See You Sun,5,5,0,0,4,22.0,0.0,0.0
INOUID,5,5,0,0,2,22.0,0.0,0.0
LMS,5,1,0,0,0,120.0,0.0,0.0
Petite Borne,4,3,0,0,4,22.0,1.0,0.0
AREA Tech,4,1,0,0,0,26.0,0.0,0.0
LUMI'IN,4,4,0,0,0,12.0,1.0,0.0
WAAT,4,1,0,0,0,22.0,0.0,1.0
EVBOX,4,3,0,0,0,22.0,1.0,0.0
FRALI,4,3,0,0,0,22.0,0.0,0.0
ubitricity,3,3,0,0,0,5.5,0.0,0.0
TANAY Electricité,3,3,0,0,0,50.0,1.0,0.0
EZDRIVE,3,3,0,0,3,7.0,0.0,0.0
ProperPhi,2,1,0,0,0,22.0,0.0,0.0
electromaps,2,2,0,0,0,22.0,0.5,0.0
Green Technologie,2,2,0,0,0,14.5,0.5,0.0
YES55,1,1,False,0,1,22.0,0.0,0.0
FRA42,1,1,False,0,0,7.0,0.0,1.0
Evbox,1,1,False,0,0,22.0,1.0,0.0
freshmile,1,1,False,0,0,7.0,1.0,0.0
FR026,1,1,False,0,0,11.0,0.0,0.0
FRS58,1,1,False,0,0,22.0,0.0,1.0
FRESHMILE,1,1,False,0,1,24.0,1.0,0.0
WAAT SAS | FR*WA4,1,1,False,0,0,24.0,1.0,0.0
Leclerc Millau,1,1,False,0,1,50.0,1.0,0.0
MODULO,1,1,False,0,1,50.0,1.0,0.0
PAS DITINERANCE,1,1,False,0,0,22.0,0.0,0.0
Pascal Chene,1,1,False,0,0,50.0,0.0,0.0
MONTA,1,1,False,0,0,22.0,0.0,0.0
