departement,pdc,frais,hors_service,muet,inconnu,taux_hors_service
01,1247,389,6,460,0,0.015424164524421594
02,964,297,4,382,0,0.013468013468013467
03,893,374,5,256,4,0.013368983957219251
04,553,295,9,159,1,0.030508474576271188
05,615,274,10,175,4,0.0364963503649635
06,3936,406,7,815,0,0.017241379310344827
07,606,296,9,213,2,0.030405405405405407
08,818,153,0,449,0,0.0
09,336,66,1,166,0,0.015151515151515152
10,1078,264,3,700,0,0.011363636363636364
11,1453,473,6,689,38,0.012684989429175475
12,702,122,0,69,0,0.0
13,4938,1296,36,1315,7,0.027777777777777776
14,3055,879,14,1488,0,0.015927189988623434
15,332,63,4,141,3,0.06349206349206349
16,982,268,6,390,2,0.022388059701492536
17,1589,645,20,649,4,0.031007751937984496
18,788,333,6,320,0,0.018018018018018018
19,669,382,10,172,2,0.02617801047120419
21,1710,623,11,494,3,0.01765650080256822
22,1424,312,7,400,4,0.022435897435897436
23,329,123,17,69,3,0.13821138211382114
24,977,485,1,276,3,0.002061855670103093
25,1005,424,8,339,14,0.018867924528301886
26,1655,828,13,531,3,0.01570048309178744
27,1528,379,8,556,4,0.021108179419525065
28,1055,370,6,400,3,0.016216216216216217
29,1655,316,2,510,3,0.006329113924050633
2A,544,37,2,185,0,0.05405405405405406
2B,438,13,0,193,0,
30,1809,665,3,596,0,0.004511278195488722
31,3756,938,44,1027,3,0.046908315565031986
32,336,73,0,181,0,0.0
33,6120,1405,21,2396,5,0.01494661921708185
34,3291,928,14,1198,2,0.015086206896551725
35,2168,717,7,656,0,0.009762900976290097
36,578,146,3,164,2,0.02054794520547945
37,1588,589,4,627,5,0.006791171477079796
38,2769,1103,27,713,6,0.024478694469628286
39,433,141,1,133,0,0.0070921985815602835
40,1436,564,14,583,2,0.024822695035460994
41,1308,361,6,431,0,0.01662049861495845
42,1665,748,11,570,3,0.014705882352941176
43,373,207,6,125,0,0.028985507246376812
44,3146,722,27,900,4,0.037396121883656507
45,1373,455,11,462,1,0.024175824175824177
46,488,62,0,350,0,0.0
47,854,396,2,236,0,0.005050505050505051
48,210,40,0,42,0,0.0
49,1718,315,0,393,2,0.0
50,1642,471,8,509,0,0.016985138004246284
51,1572,574,9,642,7,0.0156794425087108
52,514,217,8,191,0,0.03686635944700461
53,535,107,2,182,0,0.018691588785046728
54,1890,550,10,806,6,0.01818181818181818
55,389,111,1,210,0,0.009009009009009009
56,1599,343,6,935,0,0.01749271137026239
57,3651,832,17,1650,6,0.020432692307692308
58,466,184,4,171,3,0.021739130434782608
59,6410,1620,37,1431,1,0.022839506172839506
60,1810,406,9,614,0,0.022167487684729065
61,354,116,2,146,0,0.017241379310344827
62,3259,899,16,929,3,0.017797552836484983
63,1526,493,17,577,0,0.034482758620689655
64,1855,527,13,644,6,0.024667931688804556
65,641,96,2,431,0,0.020833333333333332
66,1388,479,5,656,0,0.010438413361169102
67,2718,745,16,958,3,0.021476510067114093
68,1712,445,4,629,5,0.008988764044943821
69,4634,855,17,1515,5,0.019883040935672516
70,315,129,1,120,1,0.007751937984496124
71,1555,577,13,497,13,0.022530329289428077
72,982,373,8,372,7,0.021447721179624665
73,1908,579,6,664,0,0.010362694300518135
74,2418,1056,38,704,10,0.03598484848484849
75,7969,1840,1,1458,0,0.0005434782608695652
76,3030,694,13,937,2,0.018731988472622477
77,4155,1391,24,1673,0,0.017253774263120056
78,3419,1126,20,721,6,0.017761989342806393
79,1394,167,6,878,0,0.03592814371257485
80,1409,347,9,801,4,0.025936599423631124
81,1519,118,7,105,0,0.059322033898305086
82,757,213,8,394,4,0.03755868544600939
83,2735,907,28,767,9,0.030871003307607496
84,1727,567,18,430,3,0.031746031746031744
85,1385,311,13,403,2,0.04180064308681672
86,2686,273,11,1133,0,0.040293040293040296
87,908,273,5,295,4,0.018315018315018316
88,1077,362,7,456,0,0.019337016574585635
89,1081,439,20,408,8,0.04555808656036447
90,324,88,0,102,0,0.0
91,2753,725,15,631,0,0.020689655172413793
92,3535,470,3,548,5,0.006382978723404255
93,1994,503,15,709,1,0.02982107355864811
94,2657,529,3,684,6,0.005671077504725898
95,2177,577,17,474,6,0.029462738301559793
971,109,0,0,23,0,
972,34,0,0,34,0,
973,2,0,0,2,0,
974,424,0,0,411,0,
,378,25,2,49,0,
