departement,classe,pdc,stations,puissance_totale_kw
94,non classable,53,15,6191.9
95,"AC 7 a 22,9 kW",1238,504,24794.0
95,AC <= 7 kW,55,14,320.9
95,"AC > 22,9 kW",66,59,5396.0
95,DC 50 a 150 kW,127,54,9703.0
95,DC < 50 kW,76,55,2129.0
95,DC >= 150 kW,573,105,155450.0
95,non classable,42,24,2808.6
971,"AC 7 a 22,9 kW",64,37,1100.0
971,DC < 50 kW,31,31,746.0
971,non classable,14,3,308.0
972,"AC 7 a 22,9 kW",20,9,440.0
972,DC < 50 kW,14,7,648.0
973,"AC 7 a 22,9 kW",2,1,44.0
974,"AC 7 a 22,9 kW",309,117,5647.6
974,AC <= 7 kW,12,3,44.400000000000006
974,DC 50 a 150 kW,22,14,1770.0
974,DC < 50 kW,67,49,2164.0
974,DC >= 150 kW,11,2,1730.0
974,non classable,3,1,22.200000000000003
,"AC 7 a 22,9 kW",218,147,4185.2
,AC <= 7 kW,5,5,27.7
,"AC > 22,9 kW",2,2,82.0
,DC 50 a 150 kW,33,15,2740.0
,DC < 50 kW,48,46,1211.8
,DC >= 150 kW,64,13,13500.0
,non classable,8,5,210.0
