departement,classe,pdc,stations,puissance_totale_kw
21,"AC 7 a 22,9 kW",849,267,16252.96
21,AC <= 7 kW,36,22,146.76
21,"AC > 22,9 kW",40,32,2839.0
21,DC 50 a 150 kW,213,65,14740.0
21,DC < 50 kW,42,26,917.6
21,DC >= 150 kW,473,81,120915.0
21,non classable,57,29,6769.4
22,"AC 7 a 22,9 kW",898,398,19636.84
22,AC <= 7 kW,5,5,17.78
22,"AC > 22,9 kW",10,9,954.0
22,DC 50 a 150 kW,179,79,15197.8
22,DC < 50 kW,46,28,1946.0
22,DC >= 150 kW,264,68,60310.0
22,non classable,22,5,2173.6
23,"AC 7 a 22,9 kW",204,101,4367.664
23,AC <= 7 kW,3,2,11.100000000000001
23,"AC > 22,9 kW",3,3,403.0
23,DC 50 a 150 kW,73,42,3800.0
23,DC < 50 kW,27,22,910.0
23,DC >= 150 kW,17,6,2820.0
23,non classable,2,1,44.0
24,"AC 7 a 22,9 kW",626,308,13352.992
24,AC <= 7 kW,9,8,37.78
24,"AC > 22,9 kW",23,22,1572.414
24,DC 50 a 150 kW,118,53,9063.0
24,DC < 50 kW,41,22,975.76
24,DC >= 150 kW,120,31,26680.0
24,non classable,40,32,1236.8
25,"AC 7 a 22,9 kW",540,261,11619.88
25,AC <= 7 kW,3,3,11.100000000000001
25,"AC > 22,9 kW",14,12,1329.0
25,DC 50 a 150 kW,230,104,17025.0
25,DC < 50 kW,13,10,347.0
25,DC >= 150 kW,198,44,42804.0
25,non classable,7,4,657.4
26,"AC 7 a 22,9 kW",835,316,17330.68
26,AC <= 7 kW,8,8,23.5
26,"AC > 22,9 kW",32,24,2187.0
26,DC 50 a 150 kW,135,61,10060.0
26,DC < 50 kW,33,16,980.0
26,DC >= 150 kW,584,82,164050.0
26,non classable,28,13,2134.3
27,"AC 7 a 22,9 kW",1000,363,20060.72
27,AC <= 7 kW,50,34,261.8
27,"AC > 22,9 kW",15,11,1801.0
27,DC 50 a 150 kW,150,61,11820.0
27,DC < 50 kW,9,8,198.8
27,DC >= 150 kW,290,64,73850.0
27,non classable,14,5,698.0
28,"AC 7 a 22,9 kW",506,127,10224.039999999999
28,AC <= 7 kW,2,2,5.5
28,"AC > 22,9 kW",20,15,1770.0
28,DC 50 a 150 kW,110,43,8847.0
28,DC < 50 kW,24,20,623.8
28,DC >= 150 kW,242,45,68893.2
28,non classable,151,145,1366.0
29,"AC 7 a 22,9 kW",1113,464,22960.62
29,AC <= 7 kW,12,12,43.5
29,"AC > 22,9 kW",40,35,3270.52
29,DC 50 a 150 kW,143,68,11611.8
29,DC < 50 kW,46,42,1109.4
29,DC >= 150 kW,274,68,70164.0
29,non classable,27,24,402.88
2A,"AC 7 a 22,9 kW",430,242,8810.36
2A,AC <= 7 kW,17,2,61.800000000000004
2A,"AC > 22,9 kW",1,1,132.0
2A,DC 50 a 150 kW,2,1,248.0
2A,DC < 50 kW,12,3,410.0
2A,DC >= 150 kW,70,25,16787.0
2A,non classable,12,9,88.0
2B,"AC 7 a 22,9 kW",331,167,6634.5199999999995
2B,"AC > 22,9 kW",6,1,864.0
2B,DC 50 a 150 kW,17,11,1000.0
2B,DC < 50 kW,5,3,203.0
2B,DC >= 150 kW,72,44,14440.0
2B,non classable,7,7,3.4
30,"AC 7 a 22,9 kW",1174,448,23680.67
30,AC <= 7 kW,56,26,284.6000000953674
30,"AC > 22,9 kW",15,13,803.41
30,DC 50 a 150 kW,185,71,15313.0
30,DC < 50 kW,22,18,651.0
30,DC >= 150 kW,315,59,71648.8
30,non classable,42,13,4702.7
31,"AC 7 a 22,9 kW",2382,889,43450.32
31,AC <= 7 kW,144,82,814.14
31,"AC > 22,9 kW",65,45,7214.47
31,DC 50 a 150 kW,356,131,29146.8
31,DC < 50 kW,35,30,906.0
31,DC >= 150 kW,683,163,159617.0
31,non classable,91,29,3928.7
32,"AC 7 a 22,9 kW",224,116,4660.28
32,AC <= 7 kW,8,8,26.8
32,"AC > 22,9 kW",6,5,579.0
32,DC 50 a 150 kW,52,23,4300.0
32,DC < 50 kW,4,4,94.0
32,DC >= 150 kW,39,14,7680.0
32,non classable,3,3,36.8
33,"AC 7 a 22,9 kW",2966,1144,56912.494
33,AC <= 7 kW,1560,178,10361.46
33,"AC > 22,9 kW",78,57,7247.67
33,DC 50 a 150 kW,355,154,28211.998
33,DC < 50 kW,264,218,6758.479
33,DC >= 150 kW,785,158,183437.0
33,non classable,112,61,5832.4
34,"AC 7 a 22,9 kW",2112,673,40900.680005722046
34,AC <= 7 kW,73,69,184.0999972820282
34,"AC > 22,9 kW",43,33,3232.82
34,DC 50 a 150 kW,244,103,19708.402
34,DC < 50 kW,86,65,2114.2
34,DC >= 150 kW,600,109,149906.4
34,non classable,133,55,17027.4
35,"AC 7 a 22,9 kW",1250,420,23430.989999999998
35,AC <= 7 kW,24,18,78.34
35,"AC > 22,9 kW",59,46,4881.7
35,DC 50 a 150 kW,193,80,15342.2
35,DC < 50 kW,128,70,5214.16
35,DC >= 150 kW,439,108,108674.2
35,non classable,75,66,2091.0
36,"AC 7 a 22,9 kW",399,154,8550.16
36,AC <= 7 kW,4,3,13.4
36,"AC > 22,9 kW",8,6,917.0
36,DC 50 a 150 kW,37,19,2714.0
36,DC < 50 kW,7,7,166.16
36,DC >= 150 kW,119,26,24675.0
36,non classable,4,1,500.0
37,"AC 7 a 22,9 kW",580,134,10677.84
37,AC <= 7 kW,12,11,42.940000000000005
37,"AC > 22,9 kW",27,16,2283.0
37,DC 50 a 150 kW,113,40,7663.0
37,DC < 50 kW,7,5,169.0
37,DC >= 150 kW,380,74,103310.0
37,non classable,469,452,414.5
38,"AC 7 a 22,9 kW",1619,616,30240.93025
38,AC <= 7 kW,28,21,128.32
38,"AC > 22,9 kW",50,38,3582.0
38,DC 50 a 150 kW,232,112,16544.0
38,DC < 50 kW,203,137,4672.6
38,DC >= 150 kW,595,120,145589.6
38,non classable,42,22,2408.0
39,"AC 7 a 22,9 kW",250,135,4995.12
39,AC <= 7 kW,4,4,14.72
39,"AC > 22,9 kW",7,6,719.0
39,DC 50 a 150 kW,52,20,4670.0
39,DC < 50 kW,28,26,675.0
39,DC >= 150 kW,92,21,22870.0
40,"AC 7 a 22,9 kW",730,313,15256.184
40,AC <= 7 kW,47,30,177.26
40,"AC > 22,9 kW",64,59,3376.0
40,DC 50 a 150 kW,130,53,9980.0
40,DC < 50 kW,127,83,4135.96
40,DC >= 150 kW,293,57,89040.0
40,non classable,45,31,2132.0
41,"AC 7 a 22,9 kW",621,339,8660.24
41,AC <= 7 kW,124,124,460.0
41,"AC > 22,9 kW",16,12,1314.0
41,DC 50 a 150 kW,98,39,7983.5
41,DC >= 150 kW,188,39,48612.0
41,non classable,261,254,754.0
42,"AC 7 a 22,9 kW",846,360,17878.16
42,AC <= 7 kW,25,8,157.5999999523163
42,"AC > 22,9 kW",53,44,3012.0
42,DC 50 a 150 kW,272,76,16904.0
42,DC < 50 kW,41,29,938.0
42,DC >= 150 kW,333,79,77150.0
42,non classable,95,45,5795.0
43,"AC 7 a 22,9 kW",209,118,4335.4
43,AC <= 7 kW,1,1,2.3
43,"AC > 22,9 kW",9,9,591.0
43,DC 50 a 150 kW,54,26,3733.0
43,DC < 50 kW,34,22,828.0
43,DC >= 150 kW,60,13,12840.0
43,non classable,6,2,102.8
44,"AC 7 a 22,9 kW",2109,855,42819.24
44,AC <= 7 kW,142,126,498.0399975681305
44,"AC > 22,9 kW",62,57,5095.93
44,DC 50 a 150 kW,239,125,17203.2
44,DC < 50 kW,49,41,1373.4
44,DC >= 150 kW,448,107,110552.0
44,non classable,97,31,7991.0
45,"AC 7 a 22,9 kW",640,304,12300.36
45,AC <= 7 kW,76,69,276.26
45,"AC > 22,9 kW",21,17,2594.0
45,DC 50 a 150 kW,168,56,13322.0
45,DC < 50 kW,26,21,634.0
45,DC >= 150 kW,367,86,84623.0
45,non classable,75,69,1165.08
46,"AC 7 a 22,9 kW",164,74,3440.48
46,AC <= 7 kW,56,45,207.18
46,"AC > 22,9 kW",19,12,1741.0
46,DC 50 a 150 kW,101,38,5974.0
46,DC < 50 kW,104,52,3878.4
46,DC >= 150 kW,39,11,10358.0
46,non classable,5,4,51.4
47,"AC 7 a 22,9 kW",590,240,11569.576
47,AC <= 7 kW,12,10,40.2
47,"AC > 22,9 kW",11,11,904.966
47,DC 50 a 150 kW,49,26,3840.0
47,DC < 50 kW,21,11,575.0
47,DC >= 150 kW,133,28,31035.0
47,non classable,38,10,3491.8
48,"AC 7 a 22,9 kW",126,66,2517.48
48,"AC > 22,9 kW",7,6,623.41
48,DC 50 a 150 kW,15,8,961.2
48,DC >= 150 kW,62,12,17014.0
49,"AC 7 a 22,9 kW",1067,489,23109.48
49,AC <= 7 kW,25,20,84.8
49,"AC > 22,9 kW",42,35,2841.58
49,DC 50 a 150 kW,174,89,13234.8
49,DC < 50 kW,35,24,869.4
49,DC >= 150 kW,307,65,80706.0
49,non classable,68,35,4889.0
50,"AC 7 a 22,9 kW",1112,443,22663.28
50,AC <= 7 kW,94,77,372.1999999046326
50,"AC > 22,9 kW",20,12,2090.0
50,DC 50 a 150 kW,119,51,10010.0
50,DC < 50 kW,87,51,2437.8
50,DC >= 150 kW,179,44,43980.0
50,non classable,31,13,2436.0
51,"AC 7 a 22,9 kW",668,206,14000.76
51,AC <= 7 kW,13,6,39.7
51,"AC > 22,9 kW",17,13,1603.0
51,DC 50 a 150 kW,157,63,12630.0
51,DC < 50 kW,20,20,486.0
51,DC >= 150 kW,486,97,124220.0
51,non classable,211,192,1535.0
52,"AC 7 a 22,9 kW",211,99,4584.32
52,AC <= 7 kW,3,3,17.0
52,"AC > 22,9 kW",10,8,729.0
52,DC 50 a 150 kW,62,30,4850.0
52,DC < 50 kW,11,11,265.0
52,DC >= 150 kW,211,31,59690.0
52,non classable,6,3,251.4
53,"AC 7 a 22,9 kW",343,148,7197.32
53,AC <= 7 kW,23,20,106.06
53,"AC > 22,9 kW",6,6,823.0
53,DC 50 a 150 kW,32,17,2300.0
53,DC < 50 kW,15,15,448.8
53,DC >= 150 kW,101,30,21900.0
53,non classable,15,12,310.0
54,"AC 7 a 22,9 kW",1015,383,20205.36
54,AC <= 7 kW,19,17,63.4
54,"AC > 22,9 kW",31,24,3142.0
54,DC 50 a 150 kW,222,83,18910.0
54,DC < 50 kW,69,54,1673.0
54,DC >= 150 kW,438,101,105660.0
54,non classable,96,93,647.7
55,"AC 7 a 22,9 kW",133,50,2867.64
55,"AC > 22,9 kW",5,5,329.0
55,DC 50 a 150 kW,46,24,3310.0
55,DC < 50 kW,8,8,195.0
55,DC >= 150 kW,69,20,19752.0
55,non classable,128,128,0.0
56,"AC 7 a 22,9 kW",921,441,17628.28
56,AC <= 7 kW,23,19,91.46000000000001
56,"AC > 22,9 kW",25,19,2315.0
56,DC 50 a 150 kW,199,93,16280.0
56,DC < 50 kW,67,59,1882.8
56,DC >= 150 kW,330,86,79140.0
56,non classable,34,28,918.0
57,"AC 7 a 22,9 kW",2342,914,43508.72
57,AC <= 7 kW,122,110,460.90000000000003
57,"AC > 22,9 kW",33,27,3440.0
57,DC 50 a 150 kW,380,137,33207.0
57,DC < 50 kW,171,150,4264.2
57,DC >= 150 kW,544,99,143778.0
57,non classable,59,49,828.7
58,"AC 7 a 22,9 kW",262,130,5293.12
58,AC <= 7 kW,4,3,21.4
58,"AC > 22,9 kW",6,5,557.0
58,DC 50 a 150 kW,84,41,6765.0
58,DC < 50 kW,12,7,268.0
58,DC >= 150 kW,93,23,22750.0
58,non classable,5,3,110.0
59,"AC 7 a 22,9 kW",4126,1347,78254.02789
59,AC <= 7 kW,127,92,514.28
59,"AC > 22,9 kW",52,45,5537.41
59,DC 50 a 150 kW,572,217,42639.4
59,DC < 50 kW,112,87,2862.6
59,DC >= 150 kW,1112,241,262264.0
59,non classable,309,116,10719.06
60,"AC 7 a 22,9 kW",1157,446,23267.04
60,AC <= 7 kW,33,16,174.66
60,"AC > 22,9 kW",19,17,2209.0
60,DC 50 a 150 kW,134,60,10410.0
60,DC < 50 kW,96,86,2139.8
60,DC >= 150 kW,337,75,130247.0
60,non classable,34,16,1743.2
61,"AC 7 a 22,9 kW",196,75,4152.88
61,AC <= 7 kW,7,5,20.96
61,"AC > 22,9 kW",9,6,1048.0
61,DC 50 a 150 kW,47,23,3635.0
61,DC < 50 kW,7,6,148.4
61,DC >= 150 kW,76,24,17932.0
61,non classable,12,4,1700.0
62,"AC 7 a 22,9 kW",1894,812,40480.96
62,AC <= 7 kW,28,16,101.05999990463258
62,"AC > 22,9 kW",54,42,5262.88
62,DC 50 a 150 kW,398,168,33752.7
62,DC < 50 kW,101,91,2426.6
62,DC >= 150 kW,619,158,136270.0
62,non classable,165,60,6680.2
63,"AC 7 a 22,9 kW",783,376,15259.92
63,AC <= 7 kW,11,9,43.76
63,"AC > 22,9 kW",27,21,2122.0
63,DC 50 a 150 kW,162,66,12405.0
63,DC < 50 kW,201,109,5032.8
63,DC >= 150 kW,313,66,74115.0
63,non classable,29,17,1174.4
64,"AC 7 a 22,9 kW",1317,487,25431.44
64,AC <= 7 kW,50,46,151.0799987602234
64,"AC > 22,9 kW",25,18,23832.6
64,DC 50 a 150 kW,131,52,9729.0
64,DC < 50 kW,45,37,1423.7
64,DC >= 150 kW,236,52,216282.0
64,non classable,51,24,3988.2
65,"AC 7 a 22,9 kW",472,199,9975.8
65,AC <= 7 kW,11,8,50.2
65,"AC > 22,9 kW",2,2,330.0
65,DC 50 a 150 kW,79,36,6483.0
65,DC < 50 kW,2,2,14.8
65,DC >= 150 kW,52,15,10770.0
65,non classable,23,7,3486.0
66,"AC 7 a 22,9 kW",776,309,16368.08
66,AC <= 7 kW,7,6,19.5
66,"AC > 22,9 kW",28,21,3013.0
66,DC 50 a 150 kW,194,69,15609.0
66,DC < 50 kW,18,14,471.0
66,DC >= 150 kW,348,78,84072.4
66,non classable,17,17,0.0
67,"AC 7 a 22,9 kW",1692,671,34410.08
67,AC <= 7 kW,64,48,218.0
67,"AC > 22,9 kW",52,46,3250.0
67,DC 50 a 150 kW,274,103,20216.0
67,DC < 50 kW,134,111,3424.0
67,DC >= 150 kW,419,90,96675.0
67,non classable,83,79,1051.8
68,"AC 7 a 22,9 kW",897,335,17461.48
68,AC <= 7 kW,25,12,100.69999971389771
68,"AC > 22,9 kW",99,81,8395.0
68,DC 50 a 150 kW,202,78,14896.0
68,DC < 50 kW,90,74,2128.6
68,DC >= 150 kW,387,92,86710.0
68,non classable,12,9,529.4
69,"AC 7 a 22,9 kW",1882,635,33738.08
69,AC <= 7 kW,1194,123,7636.98
69,"AC > 22,9 kW",249,149,24012.0
69,DC 50 a 150 kW,282,124,21764.0
69,DC < 50 kW,248,170,6453.0
69,DC >= 150 kW,708,145,171706.8
69,non classable,71,31,7417.88
70,"AC 7 a 22,9 kW",164,85,3578.72
70,AC <= 7 kW,1,1,2.2
70,"AC > 22,9 kW",4,4,368.0
70,DC 50 a 150 kW,57,16,4570.0
70,DC < 50 kW,8,7,211.0
70,DC >= 150 kW,81,29,15740.0
71,"AC 7 a 22,9 kW",803,379,16989.92
71,AC <= 7 kW,12,12,41.300000000000004
71,"AC > 22,9 kW",13,12,1369.0
71,DC 50 a 150 kW,199,94,15969.0
71,DC < 50 kW,10,9,240.0
71,DC >= 150 kW,468,70,105952.0
71,non classable,50,25,2803.1
72,"AC 7 a 22,9 kW",423,166,9014.08
72,AC <= 7 kW,22,16,50.5
72,"AC > 22,9 kW",26,22,3097.0
72,DC 50 a 150 kW,106,44,8675.5
72,DC < 50 kW,15,12,354.0
72,DC >= 150 kW,371,69,96392.0
72,non classable,19,16,550.4
73,"AC 7 a 22,9 kW",1108,426,19735.4
73,AC <= 7 kW,138,59,747.1
73,"AC > 22,9 kW",26,18,1874.47
73,DC 50 a 150 kW,124,66,9380.0
73,DC < 50 kW,58,52,1464.2
73,DC >= 150 kW,416,73,105717.8
73,non classable,38,15,1280.54
74,"AC 7 a 22,9 kW",1506,610,32062.28
74,AC <= 7 kW,11,11,34.16
74,"AC > 22,9 kW",46,37,2985.0
74,DC 50 a 150 kW,218,115,14705.0
74,DC < 50 kW,161,130,3993.6
74,DC >= 150 kW,441,97,111487.6
74,non classable,35,16,1681.6
75,"AC 7 a 22,9 kW",3949,172,42540.200000000004
75,AC <= 7 kW,3388,472,22243.36
75,"AC > 22,9 kW",3,2,131.0
75,DC 50 a 150 kW,40,11,2750.0
75,DC < 50 kW,180,90,3966.0
75,DC >= 150 kW,143,16,35130.0
75,non classable,266,27,1423.4
