prefixe,pdc,operateur,part_op,n_op,amenageur,siren,n_siren,enseigne_top
FRMPS,4,Mobilize Power Solutions,1.0,1,Mobilize Power Solutions,881248165,1,Hess Renault MULHOUSE
FRAEV,4,EVBOX,1.0,1,mbc,413171711,3,EVBOX
FRS62,3,ubitricity,1.0,1,,389643859,1,Ubitricity France Network
FRRM1,3,TANAY Electricité,1.0,1,IMAC2,421334566,1,Riviera Car Center
REEFL,3,EZDRIVE,1.0,1,RSM REUNION EXPERTISE,444811970,1,EZDRIVE
FRAE1,3,LMS,1.0,1,LIMACRI,322520149,1,PARTAGE MA BORNE
FROYE,3,SOREGIES MOBILITES,1.0,1,OYA ENERGIES,450889225,1,SOREGIES MOBILITES
FRA12,2,LMS,1.0,1,LIMACRI,322520149,1,PARTAGE MA BORNE
FRS61,2,TotalEnergies Marketing France,1.0,1,Syndicat D'Énergie 61,256102922,1,TERRITOIRE D'ENERGIE ORNE
FRZMS,2,ZEborne,1.0,1,SCEA LES FUIES,437983224,1,SCEA LES FUIES
FREZD,2,Green Technologie,1.0,1,Green Technologie,428801658,2,Bananes Vertes St Claude
FRCGO,2,RAIDEN,1.0,1,COMMUNE DE VILLARD SUR DORON,217303171,1,COMMUNE DE VILLARD SUR DORON
FRS2E,2,SIEGE 27,1.0,1,SIEGE 27,252701974,1,SIEGE27
FRC2N,2,CAR2PLUG,1.0,1,La Pagerie - Tropical Garden Hotel,311510002,1,La Pagerie - Tropical Garden Hotel
FRPHI,2,ProperPhi,1.0,1,The Corner,837717909,1,PROPERPHI
FRA16,2,IZIVIA,1.0,1,Wiiiz,240600585,1,Wiiiz
ITMBZ,1,Mobilize Power Solutions,1.0,1,Mobilize Power Solutions,881248165,1,Bernard Trucks VERDUN
FR515,1,Pascal Chene,1.0,1,GARAGE CHENE,539474817,1,GARAGE CHENE -TOTAL ENERGIES - CITROEN
FR1EK,1,freshmile,1.0,1,LE ROUX LOISIRS,453386120,1,reseau A
FR026,1,,0.0,0,ANEBEY,791318157,1,PLATEAU_YZERON
CH911,1,Porsche Sales & Marketplace,1.0,1,Porsche Sales & Marketplace,,0,Porsche Destination Charging Maison Troisgros
FR44P,1,Evbox,1.0,1,SARL Thouzeau LM,303486377,1,Reseau Evbox charge
FRS68,1,MODULO,1.0,1,TERRITOIRE D'ENERGIE ALSACE,256802745,1,MODULO
FRA42,1,,0.0,0,LABORATOIRE ESTRADE HUART,315708974,1,LABORATOIRE ESTRADE HUART
FRAED,1,FRESHMILE,1.0,1,Commune de BOUZONVILLE,215701061,1,FRESMILE
FRAEH,1,YES55,1.0,1,VMC,807478102,1,VMC
FREMI,1,Leclerc Millau,1.0,1,MACRIS,341760148,1,Leclerc Millau
FREZP,1,Zephyre SAS,1.0,1,Comfort Hotel Lille l'Union,508085461,1,Comfort Hotel Lille l'Union
FRH13,1,Bouygues Energies & Services,1.0,1,Communauté d'Agglomération Béthune Bruay Artois,,0,Pass pass électrique
FRLAR,1,PAS DITINERANCE,1.0,1,LA RESERVE DE RILHAT,909790511,1,PAS DITINERANCE
FRP00,1,electromaps,1.0,1,Armstrong France,434543864,1,Armstrong France
FRPMA,1,electromaps,1.0,1,A.L.R,830836599,1,A.L.R
FRRIR,1,MONTA,1.0,1,PARKING NEGRESKO,814699492,1,MONTA
FRS58,1,,0.0,0,SEGA ELECTRICITE,791408040,1,hagger
FRWA4,1,WAAT SAS | FR*WA4,1.0,1,WAAT sas,,0,WAAT
